,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2020-05-16,1589562000,96.1,77.7,87.1,107.4,77.7,98.7,77.9,75.9,1.0,100.0,8.33,0.0,0.0,8.8,160.6,57.0,5.8,199.2,17.2,6.0,05:30:50,1589581850,18:08:28,1589627308,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['48894099999', '48900099999', 'VVTS']",obs
1,2020-05-17,1589648400,96.1,84.1,88.1,105.1,94.1,98.6,75.9,68.7,1.0,100.0,45.83,0.0,0.0,11.7,200.0,47.3,6.4,221.3,19.0,8.0,05:30:40,1589668240,18:08:41,1589713721,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2,2020-05-18,1589734800,97.9,83.1,89.3,105.6,93.9,100.8,76.4,68.0,1.0,100.0,54.17,0.0,0.0,13.6,200.0,49.6,6.4,173.2,14.9,6.0,05:30:31,1589754631,18:08:55,1589800135,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
3,2020-05-19,1589821200,99.0,79.5,86.9,107.3,79.5,96.3,76.1,73.2,1.0,100.0,4.17,0.0,0.0,16.6,208.6,55.4,6.0,108.2,9.3,4.0,05:30:22,1589841022,18:09:09,1589886549,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
4,2020-05-20,1589907600,91.4,80.6,84.0,109.6,87.7,95.8,79.0,85.0,1.0,100.0,8.33,0.0,0.0,10.1,197.6,54.7,6.0,132.6,11.4,4.0,05:30:14,1589927414,18:09:24,1589972964,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
5,2020-05-21,1589994000,96.8,79.5,87.9,108.3,79.5,99.1,77.4,73.2,1.0,100.0,16.67,0.0,0.0,11.0,234.3,51.6,6.3,165.9,14.5,6.0,05:30:07,1590013807,18:09:39,1590059379,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
6,2020-05-22,1590080400,96.1,83.1,87.4,109.9,93.5,101.1,78.8,76.9,1.0,100.0,4.17,0.0,0.0,8.7,200.3,53.4,6.0,112.2,9.7,4.0,05:30:01,1590100201,18:09:54,1590145794,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
7,2020-05-23,1590166800,91.3,80.7,85.4,106.1,87.4,98.3,78.9,81.4,1.0,100.0,4.17,0.0,0.0,10.5,213.4,54.0,5.8,135.3,11.6,5.0,05:29:56,1590186596,18:10:09,1590232209,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
8,2020-05-24,1590253200,94.9,79.9,85.9,106.0,79.9,95.1,76.6,75.6,1.0,100.0,66.67,0.0,0.0,13.9,209.0,54.1,6.0,136.0,11.7,5.0,05:29:51,1590272991,18:10:24,1590318624,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
9,2020-05-25,1590339600,95.0,78.8,83.3,105.1,78.8,91.1,77.9,85.8,1.0,100.0,8.33,0.0,0.0,13.9,172.1,52.2,5.4,175.7,15.3,7.0,05:29:47,1590359387,18:10:40,1590405040,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['48894099999', '48900099999', 'VVTS']",obs
