,Tên_xe,hãng_xe,link_bài_viết,loại_xe,nguồn_gốc,số_km_đã_lái,màu,số_ghế,dung_tích_xi_lanh,loại_nguyên_liệu,số_sàn_hay_tự_động,dẫn_động,giá,năm_sản_xuất
0,Xe VinFast Lux A 2.0 Base 2021,VinFast,xe-vinfast-lux_a_2.0-base-2021-4935738,Sedan,Lắp ráp trong nước,"41,000 Km",Đen,5 chỗ,,Xăng,Số tự động,RFD - Dẫn động cầu sau,39000000,2021
1,Xe VinFast Lux A 2.0 Base 2022,VinFast,xe-vinfast-lux_a_2.0-base-2022-4935737,Sedan,Lắp ráp trong nước,"6,600 Km",Đỏ,5 chỗ,,Xăng,Số tự động,RFD - Dẫn động cầu sau,66000000,2022
2,Xe BMW X7 SUV 2020,BMW,xe-bmw-x7-suv-2020-4935736,SUV,Nhập khẩu,"40,000 Km",-,6 chỗ,,Xăng,Số tự động,4WD - Dẫn động 4 bánh,4690000000,2020
3,Xe Lexus RX 350L 2021,Lexus,xe-lexus-rx-350l-2021-4874881,SUV,Nhập khẩu,"16,000 Km",Trắng,7 chỗ,3.5 L,,Số tự động,AWD - 4 bánh toàn thời gian,3680000000,2021
4,Xe VinFast Lux SA 2.0 Plus 2.0 AT 2021,VinFast,xe-vinfast-lux_sa_2.0-plus-2.0-at-2021-4861856,SUV,Lắp ráp trong nước,"16,000 Km",Đỏ,7 chỗ,2.0 L,,Số tự động,RFD - Dẫn động cầu sau,86000000,2021
5,Xe Mercedes Benz E class E180 2021,Mercedes Benz,xe-mercedes_benz-e_class-e180-2021-4935609,Sedan,Lắp ráp trong nước,"4,000 Km",Đỏ,0 chỗ,,,-,-,1439000000,2021
6,Xe Mazda 6 Luxury 2.0 AT 2019,Mazda,xe-mazda-6-luxury-2.0-at-2019-4919501,Sedan,Lắp ráp trong nước,"39,000 Km",Đỏ,5 chỗ,2.0 L,,Số tự động,FWD - Dẫn động cầu trước,66000000,2019
7,Xe Suzuki Swift GLX 1.2 AT 2018,Suzuki,xe-suzuki-swift-glx-1.2-at-2018-4919533,Hatchback,Nhập khẩu,"50,000 Km",Xanh,5 chỗ,1.2 L,,Số tự động,FWD - Dẫn động cầu trước,55000000,2018
8,Xe Lexus RX 350L 2019,Lexus,xe-lexus-rx-350l-2019-4873157,SUV,Nhập khẩu,"29,000 Km",Trắng,7 chỗ,3.5 L,,Số tự động,AWD - 4 bánh toàn thời gian,3450000000,2019
9,Xe Mercedes Benz GLC 300 4Matic 2021,Mercedes Benz,xe-mercedes_benz-glc-300-4matic-2021-4865698,SUV,Lắp ráp trong nước,"22,000 Km",Trắng,5 chỗ,2.0 L,,Số tự động,AWD - 4 bánh toàn thời gian,2090000000,2021
10,Xe Chevrolet Trailblazer LT 2.5L VGT 4x2 AT 2018,Chevrolet,xe-chevrolet-trailblazer-lt-2.5l-vgt-4x2-at-2018-4562906,SUV,Nhập khẩu,"50,000 Km",Bạc,7 chỗ,2.5 L,,Số tự động,RFD - Dẫn động cầu sau,15000000,2018
11,Xe Toyota Camry 2.4G 2008,Toyota,xe-toyota-camry-2.4g-2008-4346635,Sedan,Lắp ráp trong nước,"80,000 Km",Bạc,5 chỗ,2.4 L,,Số tự động,FWD - Dẫn động cầu trước,99000000,2008
12,Xe Mazda 3 1.5L Luxury 2022,Mazda,xe-mazda-3-1.5l-luxury-2022-4881072,Sedan,Lắp ráp trong nước,"4,000 Km",Đỏ,5 chỗ,1.5 L,,Số tự động,FWD - Dẫn động cầu trước,86000000,2022
13,Xe Lexus NX 300 2020,Lexus,xe-lexus-nx-300-2020-4872710,SUV,Nhập khẩu,"40,000 Km",Trắng,5 chỗ,2.0 L,,Số tự động,AWD - 4 bánh toàn thời gian,1950000000,2020
14,Xe Mercedes Benz S class S450L 2020,Mercedes Benz,xe-mercedes_benz-s_class-s450l-2020-4865706,Sedan,Lắp ráp trong nước,"12,000 Km",Trắng,5 chỗ,3.0 L,,Số tự động,RFD - Dẫn động cầu sau,3390000000,2020
15,Xe Ford EcoSport Titanium 2020,Ford,xe-ford-ecosport-titanium-2020-4935734,SUV,Nhập khẩu,"50,000 Km",Ghi,5 chỗ,,Xăng,Số tự động,FWD - Dẫn động cầu trước,50000000,2020
16,Xe Hyundai i10 Ì I 2016,Hyundai,xe-hyundai-i10-i-i-2016-4935733,Sedan,Lắp ráp trong nước,800 Km,-,5 chỗ,,Xăng,Số tay,-,20000000,2016
17,Xe Lexus ES 250 2020,Lexus,xe-lexus-es-250-2020-4861157,Sedan,Nhập khẩu,"19,000 Km",Trắng,5 chỗ,2.5 L,,Số tự động,FWD - Dẫn động cầu trước,2290000000,2020
